,Title,Authors,Year
1717,"Children and youth in Michigan, 1900-1957",Michigan. Interdepartmental Staff on Children and Youth.,1959
1718,Narcotics and youth,Wisconsin. Division for Children and Youth.,1961
1719,Publications [of the] Nutrition Research Laboratories of the Merrill-Palmer School and the Children's Hospital of Michigan [and the] Research Laboratory of the Children's Fund of Michigan,Children's Fund of Michigan. Research Laboratory.,1923
1720,Dolls of friendship,Committee on World Friendship Among Children.,1929
1721,Practical help for parents of retarded children,Hull Society for Mentally Handicapped Children.,1969
1722,The Australian picture,Victorian Council for Children's Film and Television.,1963
1723,Adoption 2002,United States. Children's Bureau. Expert Work Group.,1999
1724,"Stereotypes, Distortions and Omissions in U.S. History Textbooks",Council on Interrracial Books for Children,1977
1725,"Tennessee Compilation of Selected Laws on Children, Youth and Families",Tennessee Commission on Children and Youth,2005
1726,Focus on children,Alberta. Commissioner of Services for Children.,1994
1727,A compendium of Nebraska laws concerning children and youth,Nebraska Committee for Children and Youth.,1977
1728,Bibliography on Afghanistan available in Kabul libraries,United Nations. Children's Fund. Afghanistan Office.,1975
1729,"Committee on Emotionally Disturbed Children, Illinois Commission on Children",Illinois. Committee on Emotionally Disturbed Children.,1981
1730,"Seminar on ""Researching Children"", Aarhus (Denmark), 18-20th October 1978","Seminar on ""Researching Children"" (1978 Århus, Denmark)",1978
1731,"Lunch for a bunch, etc",Children's Hospital at Stanford. San Francisco Auxiliary.,1978
1732,Storytelling,Association for Library Service to Children.,1978
1733,Identifying racism in children's books,Council on Interracial Books for Children.,1978
1734,National register of writers for children,Academy for Documentation & Research on Children's Literature.,1979
1735,The portrayal of Asian Americans in children's books,Council on Interracial Books for Children.,1977
1736,Human and (Anti Human) Values in Children's Books,Council on Interracial Books for Children.,1976
1737,Guidelines for selecting bias-free textbooks and storybooks,Council on Interracial Books for Children.,1980
1738,Children and culture in Canada,Canadian Council on Children and Youth.,1981
1739,Play Leadership Training,Canadian Council on Children and Youth.,1980
1740,"Notable children's books, 1940-1970",1940-1970 Notable Children's Book Committee.,1977
1741,Advocacy reference manual,Oklahoma Association for Children with Learning Disabilities.,1979
1742,A continuing summary of pending and completed litigation regarding the education of handicapped children,State-Federal Information Clearinghouse for Exceptional Children.,1974
1743,Legal change for the handicapped through litigation,State-Federal Information Clearinghouse for Exceptional Children.,1975
1744,Child abuse,Manitoba. Advisory Committee on Battered Children.,1977
1745,Developmental disabilities formula funds program evaluation,Pine Tree Society for Crippled Children & Adults.,1976
1746,Clinical proceedings - Children's Hospital of the District of Columbia,Children's Hospital of the District of Columbia,1944
1747,Our commitment to children,Massachusetts. Office for Children. Statewide Advisory Council,1993
1748,Developmental review in the EPSDT program,American Association of Psychiatric Services for Children,1979
1749,"Report of the Board of Children's Guardians of Marion County, Indiana for the year ending ...",Marion County (Ind.). Board of Children's Guardians,-1
1750,Preliminary report to the study committee of the national board of trustees,National Society for Crippled Children and Adults.,1963
1751,Totline,Western Montana Mental Health Center. Children Services,1995
1752,"Red truck, yellow bus","Children's Press (New York, N.Y.)",2012
1753,Counting 1 to 10,"Children's Press (New York, N.Y.)",2012
1754,Let's go to the library,"Children's Press (New York, N.Y.)",2012
1755,Carolina Blessings,Children's Home Society of North Carolin,1997
1756,New York State early childhood plan,New York (State). Children's Cabinet Advisory Board,2009
1757,Health in Ireland,Ireland. Dept. of Health and Children,2009
1758,Special needs appropriate practices,Florida. Dept. of Children and Families,2008
1759,5 busy ducklings,"Children's Press (New York, N.Y.)",2010
1760,Report on the National Children's Forum,Save the Children Fund (Great Britain),2007
1761,Channeling children's anger,"Channeling Children's Anger (1987 Washington, D.C.)",1988
1762,Program guides for day care centers,Illinois. Department of Children and Family Services,1966
1763,Report of a committee for a comprehensive plan for hearing impaired children,Illinois. Committee on Hearing Impaired Children.,1968
1764,Penny packet seeds for school and home gardens,Templin Bradley Seed Company. Children's Flower Mission,1921
1765,Penny packet seeds for children's gardens,Templin Bradley Seed Company. Children's Flower Mission,1922
1766,[Circular to teachers of schools],Templin Bradley Seed Company. Children's Flower Mission,1921
1767,Complex pain,"Complex Pain Team, BC Children’s Hospital",2003
1768,"Teacher's seed, bulb and shrub catalog",Templin Bradley Seed Company. Children's Flower Mission,1926
1769,Appeal on behalf of the proposed Hospital for Scik Children in Edinburgh,"Royal Hospital for Sick Children (Edinburgh, Scotland)",1859
1770,A visit to the Glasgow Hospital for Sick Children,"Royal Hospital for Sick Children (Glasgow, Scotland)",1884
1771,"Twenty-second annual report, 1909","Invalid Children's Aid Association (London, England)",1909
1772,Learning disabilities,Association for Children with Learning Disabilities.,1975
1773,Penny packet seeds for school or home gardens,Templin Bradley Seed Company. Children's Flower Mission,1924
1774,We used penny packet seeds ...,Templin Bradley Seed Company. Children's Flower Mission,1925
1775,"Pharmacopœia of the Victoria Hospital for Children (with which is incorporated the St Gabriel's Hospital for Infants), Queen's Road, Chelsea, S.W.","Victoria Hospital for Children (London, England)",1892
1776,Gateways,"Children's Hospital (Saint Louis, Mo.). Auxiliary-Twigs",1990
1777,Tentative plans of the Forsyth Dental Infirmary to be established in memory of James Bennett Forsyth and George Henry Forsyth,Boston. Forsyth Dental Infirmary for Children.,1910
1778,"Pregnancy, birth & the newborn baby",Mass.) Children's Hospital Medical Center (Boston,1979
1779,Health care reform,Center for the Future of Children,1993
1780,Caring for infants and toddlers,Center for the Future of Children,2001
1781,Child 21,Council for the Welfare of Children (Philippines),2000
1782,Programming for three-to five-year-olds,Association for Library Service to Children,1983
1783,Born to read,Association for Library Service to Children,1997
1784,The juvenile court,Center for the Future of Children,1996
1785,The U.N. Convention on the rights of the child,Canadian Coalition for the Rights of Children.,1994
1786,Journeys,Save the Children Fund (Great Britain),2008
1787,"""Watermarks""",Save the Children Fund (Great Britain),2006
1788,Children's behavioral health plan,Nebraska. Legislature. Children's Behavioral Health Task Force.,2007
1789,A guide to subjects & concepts in picture book format,"Yonkers, N. Y. Public Library. Children's Services.",1979
1790,Legislation related to the needs of children,Canadian Council on Children and Youth.,1979
1791,Programming for children with special needs,Association for Library Service to Children,1981
1792,Prospects for Africa,Save the Children Fund (Great Britain),1988
1793,Programming to help children use media creatively,Association for Library Service to Children,1983
1794,Deaf friendly nurseries & pre-schools,National Deaf Children's Society (Great Britain),2003
1795,You can make the difference through teen foster care,Illinois. Department of Children and Family Services,1976
1796,Answers to some common questions about adoption,Illinois. Dept. of Children and Family Services,1986
1797,Illinois Soldiers' & Sailors Children's School,Illinois. Department of Children and Family Services,1975
1798,If you're thinking about reporting child abuse ... =,Illinois. Department of Children and Family Services,1975
1799,Volunteer care,Illinois. Dept. of Children and Family Services,1986
1800,Algunas de las preguntas ma's comunes sobre los hogares de crianza,Illinois. Department of Children and Family Services,1975
1801,Can you find colors?,"Children's Press (New York, N.Y.)",2010
1802,Strengthening families and communities/keeping children safe,Florida. Dept. of Children and Families,2002
1803,"National Plan of Action for Gender, 2008-2013",National Commission for Women and Children (Bhutan),2008
1804,Bhava kha rīʺ,Save the Children Fund (Great Britain),2003
1805,Policies governing services for children with disabilities,North Carolina. Division for Exceptional Children,2007
1806,Using the national gifted education standards for preK-12 professional development,National Association for Gifted Children (U.S.),2008
1807,A bridge across the Zambezi,Save the Children Fund (Great Britain),2006
1808,Using the national gifted education standards for university teacher preparation programs,National Association for Gifted Children (U.S.),2008
1809,Ṅhakʻ ka layʻʺ tve ʼa pyaṃ saṅʻ 2,Save the Children Fund (Great Britain),2004
1810,Spotlight on child care,Alberta. Alberta Children and Youth Services,2008
1811,Family day home standards manual,Alberta. Alberta Children and Youth Services,2008
1812,A Child's Hope,Alberta. Alberta Children and Youth Services,2009
1813,Second class,Human Rights Watch (Organization). Children's Rights Division.,2001
1814,Finding a better way,Alberta. Commissioner of Services for Children.,1994
1815,You can grow them with penny packet seeds in your own home or school garden,Templin Bradley Seed Company. Children's Flower Mission,1925
1816,The field trip,"Powell, Sarah (Writer of children's books)",2014
1817,"""Good morning, Uncle Sam --",Templin Bradley Seed Company. Children's Flower Mission,1928
1818,Making friends,"Powell, Sarah (Writer of children's books)",2013
1819,"Sixth annual report of the directors and superintendent of the Pennsylvania Training School for Feeble-Minded Children, to the corporators",Pennsylvania Training School for Feeble-Minded Children,1859
1820,Shapes,"Children's Press (New York, N.Y.)",2013
1821,Act of Incorporation of the New York Juvenile Asylum: Together with the By-laws and Regulations,"Children's Village (Dobbs Ferry,
        N.Y.)",1853
1822,La casa encantada,"Powell, Sarah (Writer of children's books)",2012
1823,A Black Children's Coloring Book: Kid Entrepreneurs (Volume 2),"Kyle Davis,
        Black Children's Coloring Books",2017
1824,Yi zhi gu du de ye shou,"Judge, Chris (Children's writer and illustrator)",2014
1825,Juvenile injustice,Human Rights Watch Children's Rights Project.,1997
1826,Children's book production,Association of Canadian Publishers. Children's Book Committee,1979
1827,The Newbery & Caldecott awards,Association for Library Service to Children,-1
1828,Bei bao li zhuang le sheng me?,"Kim, Sang-gŭn (Children's story writer)",2017
1829,"The Newbery and Caldecott Awards: A Guide to the Medal and Honor Books, 2017 Edition",Association for Library Service to Children (ALSC),2017
1830,Stories from Shakespeare,Lang Jeanie Told to Children By,2001
1831,Programming with interpretative activities,Association for Library Service to Children,1982
1832,You er gu shi da wang,"Wang, Yimei (Children's story writer),
        Guangyu Li",2002
1833,The Exquisite Corpse Adventure,National Children's Book and Literacy Alliance,2011
1834,Amazing animals =,"Children's Press (New York, N.Y.)",2017
1835,Doctor Who: Tales of Terror,BBC Children's Books Penguin Random House,2019
1836,"The Newbery and Caldecott Awards: A Guide to the Medal and Honor Books, 2014 Edition",Association for Library Service to Children (ALSC),2014
1837,We're going on an egg hunt,"Hughes, Laura (Illustrator of children's books)",2017
1838,"Ma ma, ni zen me le?","Kim, Yŏng-jin (Children's book author)",2016
1839,Snow Beast,"Judge, Chris (Children's writer and illustrator)",2015
1840,Helping children,Illinois. Department of Children and Family Services,1989
1841,Programas & servicios,Illinois. Department of Children and Family Services,1975
1842,Programs & services,Illinois. Department of Children and Family Services,1975
1843,People of faith for foster care,Illinois. Department of Children and Family Services,1989
1844,Roads to maturity,Canadian Conference on Children Montreal 1965.,1967
1845,National Environmental Health Action Plan,Ireland. Dept. of Health and Children,1999
1846,Programming to introduce adults to children's literature,Association for Library Service to Children,1981
1847,If you're thinking about reporting child abuse ...,Illinois. Department of Children and Family Services,1975
1848,The Newbery and Caldecott Awards 1996,Association for Library Service to Children.,1996
1849,School linked services,Center for the Future of Children,1992
1850,The big book of nature projects,"Children's School of Science (Woods Hole, Mass.)",1997
1851,"Brush, brush, brush!","Children's Press (New York, N.Y.)",2010
1852,M is for Minnesota,Jewish Family and Children's Service of Minneapolis,2018
1853,The family in child health care,Association for the Care of Children's Health.,1981
1854,"Report of the Committee of the Institution for Idiot Children and Those of Weak Intellect, No. 35, Belvedere, Bath; with a list of subscriptions and donations, and an account of receipts and disbursements for the year ending March 25, 1850. Also a brief account of the progress of some of the inmates","Institution for Idiot Children (Bath, England)",1850
1855,Our homeless children,National Inquiry into Homeless Children (Australia),1989
1856,Children out of school in America,Washington Research Project. Children's Defense Fund.,1974
1857,Pooh and Piglet,"Dutton Children's Books,
        A. A. Milne",2002
1858,Substance abuse specialists in child welfare agencies and dependency courts,United States. Administration for Children and Families,2010
1859,Help for inner-city children of addicted parents,Children of Alcoholics Foundation (U.S.),1992
1860,My first colors,"Davis, Sarah (Writer of children's books)",2015
1861,Office of the Hospital for Sick Children,"Hospital for Sick Children (London, England)",1850
1862,An appeal to the public in behalf of a hospital for sick children,"Hospital for Sick Children (London, England)",1850
1863,Financing schools,Center for the Future of Children,1997
1864,The joy of children: based on the photographic exhibit prepared for the 1960 White House conference on children and youth,National Committee for Children and Youth.,1964
1865,Tigger Has Breakfast,"Dutton Children's Books,
        A. A. Milne",1996
1866,Special camp guide,"Resources for Children with Special Needs, Inc",1985
1867,Blending perspectives and building common ground,United States. Administration for Children and Families,1999
1868,To my children's children,"Sindiwe Magona,
        Sindiwe Magona",1990
1869,When children want children,Leon Dash,1989
1870,The children,Edith Wharton,1928
1871,Midsummer Night's Dream,William Shakespeare,1600
1872,Poems,"William Wordsworth,
        Geoffrey Moore",1807
1873,The duke's children,Anthony Trollope,1880
1874,The Children\'s Portion,Various,2006
1875,"Children Sing, Children Play: first and lasting experiences in music",Kathleen Wojcik-May,1994
1876,Token for children,"James Janeway,
        Cotton Mather",1636
1877,Five Children and It,Edith Nesbit,1905
1878,Psycholinguistic development in children,"Symposium on Psycholinguistic Development in Children: Implications for Children with Developmental Disabilities Tampa, Fla. 1973.",1973
1879,Annual report and accounts,"Service Children's Schools (North West Europe).,
        Ian Mitchelson,
        Service Children's Schools",1993
1880,Street children & slum children in India,"Workshop on Street Children & Slum Children: Legal Protection & Social Security (1988 Calcutta, India)",1990
1881,A Tale of Two Cities,Charles Dickens,1859
1882,Coronado's Children,J. Frank Dobie,1930
1883,Bambi's Children: The Story of a Forest Family,Felix Salten,1939
1884,MY CHILDREN MY CHILDREN,PATRICIA COLLOPY,2005
1885,Unto Children's Children,Lillian Pearson,2003
1886,For my children's children,Evelyn Cartier Springett,1937
1887,For Our Children's Children,Carole Kastigar,1998
1888,"Children, my children","De Polnay, Peter",1939
1889,Regulated Children/Liberated Children,Barbara Finkelstein,1979
1890,"Our children, their children",Darnell Felix Hawkins,2005
1891,Children teach children,Alan Gartner,1971
1892,Raising our children's children,Deborah Doucette-Dudman,1996
1893,Oliver Twist,Charles Dickens,1838
1894,Armageddon's Children,Terry Brooks,2006
1895,Fables,Jean de La Fontaine,1678
1896,Annual report of the Children's Hospital for the treatment of hip disease at Sevenoaks,"Children's Hospital for the Treatment of Hip Disease (Sevenoaks, England)",1937
1897,Moby Dick,Herman Melville,1851
1898,"Russia's children, our children",Barbara Monahan,1996
1899,"My children, my children.",Unknown author,1976
1900,"Children's drawings, children's minds",Rhoda Kellogg,1979
1901,Active children healthy children,Canada. Health Canada.,1996
1902,Retarded children: God's children,Sigurd D. Petersen,1960
1903,Judging Children As Children,Michael Corriero,2007
1904,Children's Bible (Children),"W. Hillmann,
        W. Hilmann",1959
1905,Children of Our Children,"Helene Daniel,
        Ruth Roth,
        Augusta Feller",1987
1906,"My Children, Your Children",Mary L. Konkolice,1986
1907,"My children, my children",Robert William Reid,1977
1908,Black children/white children,Zena Smith Blau,1981
1909,His Children's Children,Arthur Train,2004
1910,Preventing Children Having Children,Karen Pittman,1985
1911,Children eating - children learning,John West Foods Ltd.,-1
1912,Children’s Fractional Knowledge,Leslie P. Steffe,2010
1913,When children molest children,"Cunningham, Carolyn Ph. D.",1991
1914,Children Having Children,Gary E. McCuen,1987
1915,"My children, all children",Dona Hoffman,1975
1916,Let children be children,Freda S. Kehm,1968
1917,Children helping children,Unknown author,1990
1918,Raising your children's children,Martha Evans Sparks,2011
1919,"Active children, healthy children",Canada. Health Canada,1996
1920,"Children's agency, children's welfare",Carol van Nijnatten,2010
1921,"Godly Children, Praying Children",Olukayode Ogunkoya,2012
1922,My Children's Children,Jhavaun S Green,2016
1923,Assessing Children′s Writing,Kate Allott,2019
1924,Children′s Thinking,"David F. Bjorklund,
        Kayla B. Causey",2017
1925,To our children's children,Bob Greene,1993
1926,"Children mourning, mourning children",Unknown author,1995
1927,Adult children raising children,Randy Rolfe,1990
1928,Pilgrim's progress,John Bunyan,1678
1929,Concerning children,Charlotte Perkins Gilman,1900
1930,Children's Literature,Francelia Butler,1972
1931,Gritli's Children: a story of Switzerland,Johanna Spyri,1920
1932,Fifth Report of the Royal Commission on Family and Children's Law,British Columbia. Royal Commission on Family and Children's Law,1973
1933,Adoption and Children Bill,Great Britain. Parliament. House of Lords.,2002
1934,Yesterday's children,Jenny Cockell,1993
1935,Freedom's Children,Ellen Levine,1995
1936,Children's thinking,"Robert S. Siegler,
        Martha W. Alibali",1978
1937,Thursday's Children,Rumer Godden,1984
1938,Counseling children,"Thompson, Charles L.,
        Charles L. Thompson,
        Donna A. Henderson,
        Linda B. Rudolph",1983
1939,As You Like It,William Shakespeare,1734
1940,Through the Looking-Glass,Lewis Carroll,1872
1941,Little Women,Louisa May Alcott,1867
1942,Children of the Frost,Jack London,1800
1943,Children's friendships,Zick Rubin,1980
1944,Little children,Tom Perrotta,2003
1945,Children's art,Miriam Lindstrom,1957
1946,Children's literature: discovery for a lifetime,"Barbara D. Stoodt,
        Barbara D. Stoodt-Hill,
        Linda B. Amspaugh-Corson",1996
1947,Children's minds,Margaret Donaldson,1978
1948,Shade's children,Garth Nix,1997
1949,Scope,Schools Council. Project in English for Immigrant Children.,1969
1950,Chinese Children's Stories,Staff Hwa-I Publishing Co,1991
1951,Of Children,Guy R. Lefrancois,1973
1952,Only children,Alison Lurie,1979
1953,Children's classics,Alice M. Jordan,1952
1954,Sleepless children,David Haslam,1984
1955,Children's types,Douglas M. Borland,1939
1956,Children's Rooms,Jane Lott,1990
1957,Darwin's children,Greg Bear,2003
1958,Ghost children,Sue Townsend,1997
1959,Lost children,Edith Pargeter,1951
1960,Understanding children,Richard A. Gardner,1973
1961,Autistic children,Lorna Wing,1969
1962,Saturn's Children: a space opera,Charles Stross,2008
1963,Aristotle's Children,Richard E. Rubenstein,2003
1964,Wise Children,Angela Carter,1991
1965,Children of the Ghetto: a study of a peculiar people,Israel Zangwill,1892
1966,Children's Literature Review,Gerard J. Senick,1978
1967,"Other worlds, other lives",International Conference on Children's Literature (1995 University of South Africa),1996
1968,Annual report of the Saint Mary's Hospital for Women and Children,"Saint Mary's Hospital for Women and Children (London, England)",1942
1969,Handicapped children,John D. Kershaw,1961
1970,Blind children: poems,"Zangwill, Israel",1903
1971,Vegetarian children,Sharon Yntema,1987
1972,Sick children,Donald Paterson,1930
1973,Ministering children: a tale dedicated to childhood,Maria Louisa Charlesworth,1855
1974,Desert Children,Waris Dirie,2005
1975,Painting children,Benedict Rubbra,1968
1976,Wednesday's children,Leontine R. Young,1964
1977,Hitler's Children,Gerald L. Posner,1991
1978,Children's arithmetic,Herbert Ginsburg,1977
1979,Psychic Children: Revealing the Intuitive Gifts and Hidden Abilities of Boys and Girls,"Sylvia Browne,
        Lindsay Harrison",2007
1980,Children & movement,"Jennifer Wall,
        Nancy Murray",1989
1981,Children first: what our society must do - and is not doing - for our children today,Penelope Leach,1994
1982,Counselling Children: A Practical Introduction,"Kathryn Geldard,
        David Geldard",1997
1983,Dream children,Gail Godwin,1976
1984,36 children,Herbert R. Kohl,1967
1985,Tomorrow's children: 18 tales of fantasy and science fiction.,"Isaac Asimov,
        Fritz Leiber,
        Robert Sheckley,
        Clifford D. Simak,
        Robert A. Heinlein",1966
1986,Looking After Children,Dept.of Health,1991
1987,Children (Scotland) Bill,Rand McNally,1994
1988,Illustrations for children,California Library Association. Children's and Young People's Section.,1963
1989,"Children, Learning & School Design","Children, Learning & School Design (1st 1990 Northwestern University)",1992
1990,Sexual offences against children,Committee on Sexual Offences Against Children and Youths (Canada),1984
1991,Academics and beyond,Association for Children and Adults with Learning Disabilities. International Conference,1983
1992,Annual report of Alexandra Hospital for Children with Hip Disease,"Alexandra Hospital for Children with Hip Disease (London, England)",1942
1993,Back to school,"Maya Ajmera,
        John D. Ivanko,
        Global Fund for Children (Organization)",2001
1994,Twilight Children,Torey Hayden,2005
1995,Children's Treasury,Paula S. Goepfert,1987
1996,Famous Children,Tony Hart & Susan Hellard,1984
1997,Ambition's Children,Francesca Summers,1991
1998,Chrissie's Children,Irene Carr,1996
1999,Our children: Hints From Practical Experience For Parents And Teachers,Paul Carus,1906
2000,Children & fools,Thomas Mann,1928
2001,Misunderstood children: sketches taken from life,Elizabeth Harrison,1910
2002,Children's reading,K. S. Lawson,1968
2003,Bird children: the little playmates of the flower children,Elizabeth Gordon,1912
2004,Children Learning,Jean Ensing,2001
2005,Ismay's Children,May Laffan,1887
2006,The children: Some Educational Problems,Alexander Darroch,1907
2007,Flower children: the little cousins of the field and garden,Elizabeth Gordon,1910
2008,Leah's children,Gloria Goldreich,1985
2009,Kennedy's children,Robert Patrick,1975
2010,Children's Songs,Hal Leonard Corp.,2002
2011,Forgotten children,Linda A. Pollock,1983
2012,Children's explanations,Morag L. Donaldson,1986
2013,"Jewish children: translated form the Yiddish of ""Sholom Aleichem"" by Hannah Berman; introduction by Dorothy Canfield.",Sholem Aleichem,1920
2014,Empowering children,Ravi Jayakaran,2009
2015,Prospero's children,Jan Siegel,2000
2016,Unaccompanied children,"Everett M. Ressler,
        Neil Boothby,
        Daniel J. Steinbock",1987
2017,Giant Children,Brod Bagert,2002
2018,Labouring children,Joy Parr,1980
2019,Abraham's children,"Norman Solomon,
        Richard Harries",2005
2020,Kobzar's Children,Marsha Forchuk Skrypuch,2006
2021,Defiant children,Russell A. Barkley,1987
2022,Children passing,Richard Emil Braun,1962
2023,Flower children,Maxine Swann,2006
2024,Obsessive Children,Paul L. Adams,1973
2025,Children's Spaces: From Zero To Ten,Judith Wilson,2001
2026,Montgomery's children,"Perry, Richard,
        Richard Perry",1984
2027,Damia's children,Anne McCaffrey,1993
2028,Jefferson's Children,Shannon Lanier,2000
2029,David Copperfield,Charles Dickens,1800
2030,Hymns in prose for children,Anna Laetitia Barbauld,1786
2031,Hans Andersen's Fairy Tales,Hans Christian Andersen,1846
2032,Where are the children?,Mary Higgins Clark,1975
2033,Ariadne's children,Roderick Beaton,1995
2034,Drawing children,Genevieve Shimer,1960
2035,Children's Nativity,Richard Surman,2000
2036,Children's Stories,Kunigunde Jakob,1996
2037,Children's words,Donald Moyle,1982
2038,Childrens Writing: a sampler for student teachers.,David Holbrook,1967
2039,Healthy Children,Coralie Mathews,2000
2040,Children's Language,Ray Cattell,2004
2041,Pengarron's Children,Gloria Cook,1993
2042,Palestine's Children,Ghassan Kanafani,1984
2043,Women & children,Beth Harvor,1973
2044,Feedingyour children,Miranda Hall,1984
2045,Good children,Lynette Burrows,1986
2046,"Understanding children: behavior, motives, and thought.",Jerome Kagan,1971
2047,Turnabout Children,Mary MacCracken,1986
2048,Street Children,Andy Butcher,1996
2049,Children apart,"Wing, Lorna.",1980
2050,Children's Voices,Janet Maybin,2005
2051,Nobody's children,Judith Saxton,1991
2052,Children's Bach,Helen Garner,1985
2053,Privileged children,Frances Vernon,1982
2054,Troubled children,Patricia Knox,1988
2055,Working children,Emma MacLennan,1980
2056,For children,Béla Bartók,1950
2057,Children's sayings,William Canton,1900
2058,Children's issues,Ontario. Ontario Advisory Council on Disability Issues.,1995
2059,Children's letters,Elizabeth Colson,1905
2060,Knowing Children,Michael Siegal,1991
2061,Children's retreats,P. A. Halpin,1907
2062,Children's television,United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Telecommunications and Finance.,1989
2063,Children's fears,Ruth Thomas,1946
2064,Many children,Mariana Griswold Van Rensselaer,1921
2065,Dream-children: a reverie,Charles Lamb,1902
2066,Rachel's children,Harriet Hassell,1938
2067,Pharaoh's Children: A Novel by Roy Harrison,Roy Harrison,1995
2068,Eli's children: The chronicles of an unhappy family.,George Manville Fenn,1882
2069,Chinese children,Anne Garvey,1973
2070,Haunted Children,Alison Prince,1982
2071,Plato's Children,Anthony O'Hear,2005
2072,Children's running,Joyce Rankin,1994
2073,Children's clothing,Selma Rosen,1983
2074,Children's theatre,Wesley Van Tassel,1975
2075,"Children's rhymes, children's games, children's songs, children's stories","Ford, Robert",1904
2076,Children's hospital,Peggy Anderson,1985
2077,Children's perceptions,W. H. Winch,1914
2078,Photographing children,Time-Life Books,1971
2079,Borrowed children,George Ella Lyon,1988
2080,Heidegger's Children,Richard Wolin,2001
2081,Children's sleep,"Samuel Renshaw,
        Vernon L. Miller,
        Dorothy P. Marquis",1933
2082,Children's Places,K. Fog Olwig,2003
2083,Children's Geographies,Sarah Holloway,2000
2084,Children's problems,Bryan Lask,1985
2085,Ogun's Children,Onookome Okome,2003
2086,Pandora's Children,Kathryn Lance,1986
2087,Sunday's Children,Ingmar Bergman,1994
2088,Stolen children,Peg Kehret,2008
2089,Beautiful Children: A Novel,Charles Bock,2008
2090,Safeguarding children,Pat Cawson,2008
2091,Diotima's children,Frederick C. Beiser,2009
2092,Amish children,John Andrew Hostetler,1991
2093,Burdened Children,Nancy D. Chase,1999
2094,Rebecca's Children,Kate Dunn,1990
2095,Abandoned children,Unknown author,2000
2096,Moctezuma's children,Donald E. Chipman,2005
2097,Children & television,"Gordon L. Berry,
        Joy Keiko Asamen",1993
2098,Children's play,"W. George Scarlett,
        Sophie C. Naudeau,
        Dorothy Salonius-Pasternak,
        Iris C. Ponte",2004
2099,Kashmir's children,Anthony Dawton,2006
2100,Nature's Children,Josh Gregory,2014
2101,Children's learning,Harold W. Stevenson,1972
2102,Trinity's children,Tad Bartimus,1991
2103,Louis' children,Leslie Gourse,1984
2104,Rivonia's children,Glenn Frankel,1999
2105,Machiavelli's Children,Richard J. Samuels,2003
2106,Time's children,Thomas J. Cottle,1971
2107,Conformity's children,Ellen B. Chances,1978
2108,Children's drawings,Stella Agnes McCarty,1923
2109,Protecting children,Janet Kay,1999
2110,Children's Literature: Engaging Teachers and Children in Good Books,Michael O. Tunnell,2001
2111,Twilight Children: three voices no one heard until a therapist listened,Torey L. Hayden,2005
2112,Matthew's children,C. J. Carmichael,2008
2113,Medusa's children,Bob Shaw,1977
2114,Vulnerable children,Lindy Burton,1968
2115,Amy's children,"Olga Masters,
        Olga Masters",1987
2116,Shaka's Children,Stephen Taylor,1996
2117,Wednesday's Children: adult survivors of abuse speak out,Suzanne Somers,1992
2118,Naughty children,Christianna Brand,1962
2119,Children's War,"David Bellin,
        David Bellin",1979
2120,Sexualized children,"Eliana Gil,
        Toni Cavanagh Johnson",1992
2121,God's children,Harold Coyle,2000
2122,Children's medications,"Richard D. Bates,
        Milap C. Nahata",1995
2123,Love's Children,Judith Chernaik,1992
2124,Children & Libraries: Getting It Right,Virginia A. Walter,2000
2125,Our children,Ena Mirren,1995
2126,Ringworld's Children,Larry Niven,2001
2127,Medieval Children,Nicholas Orme,2001
2128,Maya's Children,Rudolfo A. Anaya,1996
2129,Levi's Children,Karl Schoenberger,2000
2130,Children's talk,Catherine Garvey,1984
2131,Protection and care of children,Ontario. Ministry of Community and Social Services. Children's Services Division.,1979
2132,Accreditation Criteria & Procedures,National Association for the Education of Young Children.,1984
2133,Basic Training Program For Front-Line Protection Staff and Supervisors of Children's Aid Societies in the Province of Ontario,Ontario. Ministry of Community and Social Services. Children's Services Division.,1980
2134,Consultation paper,Ontario. Ministry of Community and Social Services. Children's Services Division.,1978
2135,"Time for music, 3-5 stage",Schools Council. Music Education of Young Children Project.,1978
2136,Scope senior course,Schools Council. Project in English for Immigrant Children.,1972
2137,Childline,Irish Society for the Prevention of Cruelty to Children.,1988
2138,Information booklet,Ireland. Department of Health and Children. Social Services Inspectorate.,2001
2139,The protection of children in England,"Great Britain. Dept. for Children, Schools and Families.",2009
2140,Protect your child,National Society for the Prevention of Cruelty to Children,1985
2141,How the NSPCC works,National Society for the Prevention of Cruelty to Children,1985
2142,Help for the handicapped child,Royal Belfast Hospital for Sick Children. Parents Support Group.,1985
2143,The by-laws and regulations of the Society for the Relief of Poor Widows with Small Children,Society for the Relief of Poor Widows with Small Children,1813
2144,The child's first book,Compiler of The beauties of the children's friend,1810
2145,The child and family resource program,"United States. Administration for Children, Youth, and Families.",1978
2146,Fun in the making,"United States. Administration for Children, Youth, and Families.",1979
2147,Convalescent care for children,"Conference on Convalescent Care for Children (1945 Hershey, Pa.)",1946
2148,Juvenile gang warfare,California. Legislature. Senate. Select Committee on Children and Youth.,1975
2149,Group work as a part of protective services,Massachusetts Society for the Prevention of Cruelty to Children.,1976
2150,Montessori in perspective,National Association for the Education of Young Children.,1966
2151,Time for music,Schools Council. Music Education of Young Children Project.,1976
